global_index,lex_topic_0,lex_topic_1,lex_topic_2,lex_topic_3,lex_topic_4,lex_topic_5,lex_topic_6,lex_topic_7,sim_topic_1,sim_topic_5,sim_topic_6,sim_topic_4,sim_topic_2,sim_topic_0,sim_topic_3,sim_topic_7,covered_topic_0,covered_topic_1,covered_topic_2,covered_topic_3,covered_topic_4,covered_topic_5,covered_topic_6,covered_topic_7
97,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.02,0.380496084690094,0.3695287704467773,0.3589984476566314,0.4171452522277832,0.461722582578659,0.4594456553459167,0.4551973938941955,0.498449444770813,0,0,0,0,0,0,0,0
98,0.009009009009009,0.018018018018018,0.0,0.027027027027027,0.027027027027027,0.009009009009009,0.0,0.027027027027027,0.4919534623622894,0.4514011144638061,0.4227285385131836,0.4366834759712219,0.531784176826477,0.484601616859436,0.5352953672409058,0.4736279845237732,0,0,0,0,0,0,0,0
99,0.0069444444444444,0.0069444444444444,0.0052083333333333,0.015625,0.0069444444444444,0.0034722222222222,0.0104166666666666,0.0052083333333333,0.3874104917049408,0.3024420738220215,0.4113215506076813,0.3673310875892639,0.4560880661010742,0.4298754334449768,0.441519558429718,0.3796809613704681,0,0,0,0,0,0,0,0
100,0.0190735694822888,0.0108991825613079,0.0027247956403269,0.0190735694822888,0.0245231607629427,0.0054495912806539,0.0,0.0163487738419618,0.3671964704990387,0.3291603326797485,0.3474774956703186,0.3498175740242004,0.4386950731277466,0.3819502592086792,0.437840461730957,0.3744529187679291,0,0,0,0,0,0,0,0
101,0.0476190476190476,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.3111076354980469,0.2948623299598694,0.3186990022659302,0.2552386820316314,0.3823010325431824,0.3239820599555969,0.348102331161499,0.3340418934822082,0,0,0,0,0,0,0,0
102,0.0248833592534992,0.0217729393468118,0.0077760497667185,0.0031104199066874,0.0248833592534992,0.0093312597200622,0.0171073094867807,0.0077760497667185,0.1436591297388076,0.1509302705526352,0.1441021263599395,0.1347444057464599,0.2023187130689621,0.1755479574203491,0.1930209696292877,0.1469719409942627,0,0,0,0,0,0,0,0
103,0.0317460317460317,0.0095238095238095,0.0031746031746031,0.0,0.0317460317460317,0.0095238095238095,0.0158730158730158,0.0,0.2962426841259002,0.31377112865448,0.3190599083900451,0.2740896344184875,0.3202807307243347,0.3245920538902282,0.3714434504508972,0.2534431517124176,0,0,0,0,0,0,0,0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.285305380821228,0.258070707321167,0.2691088914871216,0.2769048810005188,0.3611840605735779,0.3212916851043701,0.339222252368927,0.3106938898563385,0,0,0,0,0,0,0,0
105,0.0,0.0,0.0,0.025,0.0,0.05,0.0,0.0,0.3506505489349365,0.3475692868232727,0.2561210393905639,0.3425137996673584,0.3838719725608825,0.3337732553482055,0.3803713917732239,0.3594541549682617,0,0,0,0,0,0,0,0
106,0.0,0.0,0.0,0.0384615384615384,0.0,0.0384615384615384,0.0,0.0,0.2363265454769134,0.2144886255264282,0.1947933137416839,0.2264859676361084,0.2869335114955902,0.2360150218009948,0.2614601850509643,0.2608017325401306,0,0,0,0,0,0,0,0
107,0.0318840579710144,0.008695652173913,0.0028985507246376,0.0057971014492753,0.0260869565217391,0.0028985507246376,0.017391304347826,0.0,0.2431308478116989,0.2511734068393707,0.2663944959640503,0.2236811965703964,0.2717228829860687,0.2658276557922363,0.3040736317634582,0.216000348329544,0,0,0,0,0,0,0,0
108,0.0288184438040345,0.0086455331412103,0.0,0.0,0.0259365994236311,0.0115273775216138,0.0288184438040345,0.0,0.2138065993785858,0.2381711900234222,0.229023277759552,0.1944886744022369,0.237061858177185,0.2429022192955017,0.277509868144989,0.1769525706768036,0,0,0,0,0,0,0,0
109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4149487614631653,0.3590201437473297,0.4622868597507477,0.4459811449050903,0.4719292521476745,0.4951408803462982,0.4892747402191162,0.4709085822105407,0,0,0,0,0,0,0,0
110,0.0,0.0,0.0,0.0,0.0,0.027027027027027,0.0,0.0,0.332980751991272,0.3212810754776001,0.3289674520492553,0.2372917234897613,0.3781992197036743,0.3390522599220276,0.3776854276657104,0.3450720906257629,0,0,0,0,0,0,0,0
111,0.0,0.0,0.0,0.024390243902439,0.0,0.0,0.0,0.0,0.4041209816932678,0.3857505321502685,0.3336812257766723,0.3716527819633484,0.4542524218559265,0.377436101436615,0.4482000470161438,0.3919943571090698,0,0,0,0,0,0,0,0
112,0.0625,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.3140485286712646,0.3611173033714294,0.3626241087913513,0.3099768161773681,0.3283628225326538,0.3636453151702881,0.3932608366012573,0.270249605178833,0,0,0,0,0,0,0,0
113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654003471136093,0.0487260967493057,0.0255914628505706,0.0277718044817447,0.0320727527141571,0.0583197399973869,0.0560572743415832,0.0257491469383239,0,0,0,0,0,0,0,0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.203005850315094,0.236890435218811,0.2454943358898162,0.211276039481163,0.2756465077400207,0.2423756718635559,0.2847945094108581,0.2210559248924255,0,0,0,0,0,0,0,0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1980054676532745,0.2343011051416397,0.2312319874763488,0.1886874735355377,0.3055620789527893,0.2103731334209442,0.2696945965290069,0.2287451326847076,0,0,0,0,0,0,0,0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2433128952980041,0.2432659119367599,0.2002090364694595,0.1820714175701141,0.2543900907039642,0.1812599301338195,0.2456592321395874,0.2074522078037262,0,0,0,0,0,0,0,0
117,0.0754716981132075,0.0283018867924528,0.0094339622641509,0.0566037735849056,0.0566037735849056,0.0377358490566037,0.0094339622641509,0.0094339622641509,0.5830737352371216,0.4932601451873779,0.5476599931716919,0.5805147886276245,0.6317305564880371,0.6179482936859131,0.6375541687011719,0.6060173511505127,1,1,1,1,1,0,0,1
118,0.0196078431372549,0.017156862745098,0.0073529411764705,0.0147058823529411,0.0196078431372549,0.0220588235294117,0.0147058823529411,0.017156862745098,0.4671274125576019,0.4540475010871887,0.4698348045349121,0.3898158371448517,0.485215276479721,0.4096342325210571,0.4945182800292969,0.4117275476455688,0,0,0,0,0,0,0,0
119,0.0198019801980198,0.0173267326732673,0.0074257425742574,0.0148514851485148,0.0198019801980198,0.0222772277227722,0.0148514851485148,0.0173267326732673,0.4671274125576019,0.4540475010871887,0.4698348045349121,0.3898158371448517,0.485215276479721,0.4096342325210571,0.4945182800292969,0.4117275476455688,0,0,0,0,0,0,0,0
120,0.0512820512820512,0.0384615384615384,0.0,0.0256410256410256,0.0512820512820512,0.0128205128205128,0.0,0.0256410256410256,0.6437222957611084,0.5713498592376709,0.6092746257781982,0.6297413110733032,0.6580550074577332,0.6758808493614197,0.7033464908599854,0.6265093088150024,1,1,1,1,1,1,1,1
121,0.0495049504950495,0.0297029702970297,0.0099009900990099,0.0198019801980198,0.0297029702970297,0.0099009900990099,0.0198019801980198,0.0148514851485148,0.5432955026626587,0.4554658830165863,0.5014047026634216,0.5210933685302734,0.6272902488708496,0.5705615282058716,0.6016833782196045,0.5769599676132202,1,0,1,1,0,0,0,1
122,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1702972948551178,0.2048185169696808,0.2362361848354339,0.1794271469116211,0.2652707695960998,0.1976818889379501,0.2414110004901886,0.1829117238521576,0,0,0,0,0,0,0,0
123,0.0052770448548812,0.0052770448548812,0.0052770448548812,0.0237467018469656,0.0,0.0369393139841688,0.0052770448548812,0.0131926121372031,0.6145362854003906,0.6190704107284546,0.4708163142204284,0.5184341669082642,0.55155348777771,0.5195459127426147,0.600039005279541,0.5314865112304688,0,1,1,1,0,1,0,0
124,0.0,0.0,0.0099009900990099,0.0297029702970297,0.0,0.0198019801980198,0.0,0.0198019801980198,0.3135079145431518,0.3122504353523254,0.2991368174552917,0.2781887948513031,0.3636152446269989,0.3025889992713928,0.3677067458629608,0.3166024684906006,0,0,0,0,0,0,0,0
125,0.0,0.0,0.0,0.0454545454545454,0.0,0.0454545454545454,0.0,0.0454545454545454,0.4314395189285278,0.3904245495796203,0.3872548341751098,0.3725453615188598,0.4813149571418762,0.4145714044570923,0.4430966973304748,0.4644508063793182,0,0,0,0,0,0,0,0
